 ID        u              v       
 343   0.3146681804  -1.0921887446
 344   0.3285162196  -1.2038864734
 345   0.3419721020  -1.3197018493
 346   0.3550358275  -1.4394387939
 347   0.3677073961  -1.5629012286
 348   0.3799868079  -1.6898930751
 349   0.3918740628  -1.8202182549
 350   0.4033691608  -1.9536806897
 351   0.4144721020  -2.0900843009
 352   0.4251828863  -2.2292330101
 353   0.4355015138  -2.3709307390
 354   0.4454279844  -2.5149814091
 355   0.4549622981  -2.6611889418
 356   0.4641044550  -2.8093572589
 357   0.4728544550  -2.9592902819
 358   0.4812122981  -3.1107919324
 359   0.4891779844  -3.2636661318
 360   0.4967515138  -3.4177168019
 361   0.5039328863  -3.5727478641
 362   0.5107221020  -3.7285632400
 363   0.5171191609  -3.8849668513
 364   0.5231240628  -4.0417626194
 365   0.5287368079  -4.1987544659
 366   0.5339573962  -4.3557463124
 367   0.5387858275  -4.5125420805
 368   0.5432221020  -4.6689456918
 369   0.5472662197  -4.8247610677
 370   0.5509181805  -4.9797921299
 371   0.5541779844  -5.1338428000
 372   0.5570456315  -5.2867169995
 373   0.5595211217  -5.4382186499
 374   0.5616044550  -5.5881516729
 375   0.5632956315  -5.7363199900
 376   0.5645946511  -5.8825275229
 377   0.5655015138  -6.0265781929
 378   0.5660162197  -6.1682759218
 379   0.5661387687  -6.3074246311
 380   0.5658691609  -6.4438282424
 381   0.5652073962  -6.5772906771
 382   0.5641534746  -6.7076158570
 383   0.5627073962  -6.8346077035
 384   0.5608691609  -6.9580701383
 385   0.5586387688  -7.0778070829
 386   0.5560162198  -7.1936224590
 387   0.5530015139  -7.3053201881
 388   0.5495946506  -7.4127041919
 389   0.5457956292  -7.5155783914
 390   0.5416044485  -7.6137467052
 391   0.5370211100  -7.7070130470
 392   0.5320456291  -7.7951813241
 393   0.5266780625  -7.8780554568
 394   0.5209185460  -7.9554394671
 395   0.5147672534  -8.0271377353
 396   0.5082239232  -8.0929554600
 397   0.5012860704  -8.1526987626
 398   0.4939446101  -8.2061716157
 399   0.4861780719  -8.2531614780
 400   0.4779601297  -8.2933979368
 401   0.4693394060  -8.3264847357
 402   0.4607182967  -8.3519041435
 403   0.4534175412  -8.3697757764
 404   0.4492066004  -8.3824591208
 405   0.4482421173  -8.3950008207
